Variable,SLM_coef,SLM_SE,SLM_p,SLM_sig,SEM_coef,SEM_SE,SEM_p,SEM_sig
Constant,-0.029427445997105423,0.03690232318619207,0.4251946331705493,,-0.21736124239494098,0.20270697609873595,0.2835885143998358,
Poverty,-0.48000802426241995,0.06798885475554388,1.6638439453798503e-12,***,-0.5825804379413682,0.10354044783784504,1.837987842300194e-08,***
Distance,-0.3884102416700875,0.06152372826787515,2.7336294440664904e-10,***,-0.7204109319506972,0.15288639184240785,2.4521664337203987e-06,***
PopulationDensity,-1.0065615777262977,0.05310516091063798,4.083290552555272e-80,***,-1.3122896373174886,0.038628855655293275,5.824722028975248e-253,***
ρ (SLM) / λ (SEM),0.15388460898531078,0.06335607241091841,0.01514533869375161,*,0.8838372954767373,0.030492849851885308,1.0149549291649272e-184,***
