,coef,std_err,p
const,-3.749290893441159,0.07318078409522669,3.623669691108554e-129
Poverty,-0.6903800256017169,0.07630195376077102,5.772018732795303e-17
PopulationDensity,-0.8652766863807908,0.10113913942328866,1.5621313396012047e-15
Poverty_x_PopDens,-0.2663971521303332,0.0658243252975453,7.04936762338134e-05
