Poverty Quintile,Gini (WorldPop),Gini (Meta),ΔGini (Meta − WP)
Q1 (Lowest poverty),0.448,0.370,-0.078
Q2,0.412,0.328,-0.084
Q3,0.486,0.350,-0.135
Q4,0.494,0.404,-0.090
Q5 (Highest poverty),0.611,0.451,-0.161
